iter	Passed	Remaining
928	2635	201
929	2637	198
930	2640	195
931	2643	192
932	2646	190
933	2648	187
934	2651	184
935	2653	181
936	2656	178
937	2658	175
938	2661	172
939	2663	170
940	2666	167
941	2669	164
942	2671	161
943	2674	158
944	2676	155
945	2679	152
946	2682	150
947	2684	147
948	2686	144
949	2689	141
950	2691	138
951	2694	135
952	2697	133
953	2699	130
954	2702	127
955	2704	124
956	2707	121
957	2709	118
958	2712	115
959	2714	113
960	2717	110
961	2719	107
962	2722	104
963	2724	101
964	2727	98
965	2730	96
966	2732	93
967	2735	90
968	2737	87
969	2740	84
970	2743	81
971	2745	79
972	2747	76
973	2750	73
974	2752	70
975	2755	67
976	2757	64
977	2760	62
978	2762	59
979	2765	56
980	2767	53
981	2769	50
982	2772	47
983	2775	45
984	2777	42
985	2779	39
986	2782	36
987	2784	33
988	2787	31
989	2789	28
990	2792	25
991	2794	22
992	2797	19
993	2799	16
994	2802	14
995	2805	11
996	2807	8
997	2810	5
998	2812	2
999	2814	0
